x,y,z
-6.006172299385070801e-01,2.621471405029296875e+01,1.895280838012695312e+00
-5.428041219711303711e-01,2.618604660034179688e+01,1.893118023872375488e+00
-4.862286150455474854e-01,2.621708679199218750e+01,1.895280838012695312e+00
-4.272355735301971436e-01,2.610838508605957031e+01,1.887350797653198242e+00
-3.706992566585540771e-01,2.613917350769042969e+01,1.889513492584228516e+00
-3.141503036022186279e-01,2.617981338500976562e+01,1.892397165298461914e+00
-2.577195167541503906e-01,2.625025177001953125e+01,1.897443532943725586e+00
-2.002974748611450195e-01,2.623080444335937500e+01,1.896001696586608887e+00
-1.424175053834915161e-01,2.611149215698242188e+01,1.887350797653198242e+00
-6.586117148399353027e-01,2.624539375305175781e+01,1.867613196372985840e+00
-6.006661653518676758e-01,2.621685028076171875e+01,1.865484476089477539e+00
-5.438819527626037598e-01,2.623804473876953125e+01,1.866903662681579590e+00
-4.858983159065246582e-01,2.619927597045898438e+01,1.864065289497375488e+00
-4.287392497062683105e-01,2.620027351379394531e+01,1.864065289497375488e+00
-3.701636791229248047e-01,2.610140800476074219e+01,1.856969475746154785e+00
-3.129790425300598145e-01,2.608220672607421875e+01,1.855550289154052734e+00
-2.572508752346038818e-01,2.620251846313476562e+01,1.864065289497375488e+00
-1.998568028211593628e-01,2.617309379577636719e+01,1.861936569213867188e+00
-1.434083878993988037e-01,2.629316329956054688e+01,1.870451450347900391e+00
-6.596655249595642090e-01,2.628738784790039062e+01,1.840573430061340332e+00
-6.000288724899291992e-01,2.618903350830078125e+01,1.833590984344482422e+00
-5.441322922706604004e-01,2.625012207031250000e+01,1.837780475616455078e+00
-4.846424162387847900e-01,2.613155937194824219e+01,1.829401493072509766e+00
-4.274678826332092285e-01,2.612258148193359375e+01,1.828703284263610840e+00
-3.706177175045013428e-01,2.613342475891113281e+01,1.829401493072509766e+00
-3.140813708305358887e-01,2.617407226562500000e+01,1.832194447517395020e+00
-2.567818462848663330e-01,2.615474510192871094e+01,1.830798029899597168e+00
-1.999489963054656982e-01,2.618516731262207031e+01,1.832892775535583496e+00
-1.434198766946792603e-01,2.629527091979980469e+01,1.840573430061340332e+00
